0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2347.0,589.0,,,,,,,,,,,,,,
392.0,465.0,443.0,,,,,,,,,,,,,
440.0,401.0,507.0,423.0,,,,,,,,,,,,
491.0,483.0,495.0,,,,,,,,,,,,,
578.0,389.0,518.0,391.0,620.0,556.0,622.0,432.0,400.0,530.0,403.0,564.0,469.0,535.0,476.0,446.0
441.0,452.0,,,,,,,,,,,,,,
576.0,577.0,545.0,609.0,547.0,448.0,549.0,396.0,557.0,526.0,527.0,599.0,2328.0,2330.0,478.0,1023.0
385.0,500.0,412.0,521.0,2332.0,2334.0,,,,,,,,,,
489.0,739.0,2308.0,437.0,,,,,,,,,,,,
496.0,580.0,618.0,474.0,619.0,2350.0,,,,,,,,,,
410.0,470.0,399.0,,,,,,,,,,,,,
481.0,509.0,387.0,390.0,615.0,2280.0,1101.0,430.0,623.0,625.0,573.0,414.0,,,,
434.0,502.0,,,,,,,,,,,,,,
627.0,572.0,445.0,559.0,,,,,,,,,,,,
552.0,2315.0,523.0,574.0,,,,,,,,,,,,
453.0,405.0,378.0,508.0,413.0,590.0,,,,,,,,,,
480.0,2339.0,522.0,475.0,381.0,,,,,,,,,,,
624.0,406.0,487.0,586.0,431.0,,,,,,,,,,,
449.0,563.0,534.0,2329.0,1755.0,558.0,479.0,,,,,,,,,
505.0,471.0,,,,,,,,,,,,,,
550.0,462.0,,,,,,,,,,,,,,
617.0,499.0,444.0,421.0,,,,,,,,,,,,
582.0,407.0,472.0,380.0,525.0,,,,,,,,,,,
568.0,435.0,748.0,,,,,,,,,,,,,
455.0,598.0,551.0,493.0,542.0,463.0,,,,,,,,,,
388.0,548.0,404.0,587.0,588.0,511.0,,,,,,,,,,
514.0,506.0,,,,,,,,,,,,,,
585.0,442.0,597.0,,,,,,,,,,,,,
579.0,451.0,584.0,459.0,473.0,,,,,,,,,,,
611.0,787.0,616.0,571.0,541.0,,,,,,,,,,,
458.0,415.0,,,,,,,,,,,,,,
424.0,2305.0,398.0,439.0,,,,,,,,,,,,
594.0,612.0,408.0,377.0,605.0,,,,,,,,,,,
426.0,450.0,519.0,,,,,,,,,,,,,
626.0,746.0,428.0,,,,,,,,,,,,,
417.0,427.0,613.0,,,,,,,,,,,,,
537.0,2337.0,,,,,,,,,,,,,,
498.0,2270.0,,,,,,,,,,,,,,
411.0,742.0,,,,,,,,,,,,,,
484.0,429.0,,,,,,,,,,,,,,
488.0,540.0,501.0,,,,,,,,,,,,,
744.0,607.0,,,,,,,,,,,,,,
600.0,735.0,,,,,,,,,,,,,,
970.0,460.0,,,,,,,,,,,,,,
461.0,581.0,583.0,,,,,,,,,,,,,
608.0,433.0,416.0,,,,,,,,,,,,,
425.0,596.0,382.0,,,,,,,,,,,,,
592.0,394.0,,,,,,,,,,,,,,
561.0,486.0,,,,,,,,,,,,,,
593.0,420.0,,,,,,,,,,,,,,
560.0,567.0,,,,,,,,,,,,,,
555.0,383.0,,,,,,,,,,,,,,
482.0,438.0,,,,,,,,,,,,,,
456.0,468.0,,,,,,,,,,,,,,
601.0,554.0,,,,,,,,,,,,,,
512.0,610.0,,,,,,,,,,,,,,
457.0,516.0,,,,,,,,,,,,,,
