,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour
2022-04-01 00:00:00+00:00,0.0,-1.2,2.1,2,0,4,0,False,
2022-04-01 01:00:00+00:00,0.0,-2.7,1.2,2,0,4,1,False,0.0
2022-04-01 02:00:00+00:00,0.0,-2.2,2.1,2,0,4,2,False,0.0
2022-04-01 03:00:00+00:00,0.0,-3.2,0.8,2,0,4,3,False,0.0
2022-04-01 04:00:00+00:00,0.0,-4.0,1.7,2,0,4,4,False,0.0
2022-04-01 05:00:00+00:00,0.0,-3.9,1.8,2,2,4,5,False,0.0
2022-04-01 06:00:00+00:00,0.0,-2.8,2.1,2,8,4,6,False,2.0
2022-04-01 07:00:00+00:00,0.0,-2.8,0.7,4,1,4,7,False,8.0
2022-04-01 08:00:00+00:00,0.0,-3.0,2.4,4,0,4,8,False,1.0
2022-04-01 09:00:00+00:00,0.0,-3.2,2.6,4,0,4,9,False,0.0
2022-04-01 10:00:00+00:00,0.0,-3.8,1.1,4,4,4,10,False,0.0
2022-04-01 11:00:00+00:00,0.0,-2.5,1.2,4,1,4,11,False,4.0
2022-04-01 12:00:00+00:00,0.0,-1.3,0.8,4,1,4,12,False,1.0
2022-04-01 13:00:00+00:00,0.0,0.2,0.9,5,1,4,13,False,1.0
2022-04-01 14:00:00+00:00,0.0,-0.1,1.8,5,2,4,14,False,1.0
2022-04-01 15:00:00+00:00,0.0,-1.0,0.7,5,1,4,15,False,2.0
2022-04-01 16:00:00+00:00,0.0,-1.6,1.8,6,0,4,16,False,1.0
2022-04-01 17:00:00+00:00,0.0,-1.9,0.6,6,1,4,17,False,0.0
2022-04-01 18:00:00+00:00,0.0,-2.1,1.3,6,1,4,18,False,1.0
2022-04-01 19:00:00+00:00,0.0,-2.8,1.8,4,0,4,19,False,1.0
2022-04-01 20:00:00+00:00,0.0,-3.8,1.8,4,0,4,20,False,0.0
