dateTime,availability 0,availability 1,availability 2,availability 3,availability 4,availability 5,availability 6,availability 7,availability 8,availability 9,nedør,temp,vind,hour,count,count_last_hour,isHoliday,weekday,month,Mean_close_count_last_hour
2020-11-01 01:00:00,1,1,1,1,1,1,1,1,1,1,0.0,-5.5,0.8,0,0,,False,6,11,0.1
2020-11-01 02:00:00,1,1,1,1,1,1,1,1,1,1,0.0,-5.0,1.7,1,0,0.0,False,6,11,0.0
2020-11-01 03:00:00,1,1,1,1,1,1,1,1,1,1,0.0,-4.3,1.3,2,0,0.0,False,6,11,0.0
2020-11-01 04:00:00,1,1,1,1,1,1,1,1,1,1,0.0,-3.4,0.6,3,0,0.0,False,6,11,0.0
2020-11-01 05:00:00,1,1,1,1,1,1,1,1,1,1,0.0,-2.4,1.6,4,0,0.0,False,6,11,0.0
2020-11-01 06:00:00,1,1,1,1,1,1,1,1,1,1,0.0,-1.6,1.2,5,0,0.0,False,6,11,0.0
2020-11-01 07:00:00,1,1,1,1,1,1,1,1,1,1,0.0,-1.0,3.8,6,0,0.0,False,6,11,0.0
2020-11-01 08:00:00,1,1,1,1,1,1,1,1,1,1,0.0,0.4,3.3,7,0,0.0,False,6,11,0.0
2020-11-01 09:00:00,1,1,1,1,1,1,1,1,1,1,0.0,3.4,4.5,8,1,0.0,False,6,11,0.1
2020-11-01 10:00:00,1,1,1,1,1,1,1,1,1,1,0.0,4.5,5.5,9,0,1.0,False,6,11,0.1
2020-11-01 11:00:00,1,1,1,1,1,1,1,1,1,1,0.0,5.3,8.1,10,0,0.0,False,6,11,0.1
2020-11-01 12:00:00,1,1,1,1,1,1,1,1,1,1,0.0,4.9,7.9,11,2,0.0,False,6,11,0.7
2020-11-01 13:00:00,1,1,1,1,1,1,1,1,1,1,0.5,4.7,6.5,12,0,2.0,False,6,11,0.7
2020-11-01 14:00:00,1,1,1,1,1,1,1,1,1,1,0.4,4.9,5.4,13,0,0.0,False,6,11,0.4
2020-11-01 15:00:00,1,1,1,1,1,1,1,1,1,1,0.0,5.4,6.1,14,0,0.0,False,6,11,0.4
2020-11-01 16:00:00,1,1,1,1,1,1,1,1,1,1,0.0,5.9,6.7,15,0,0.0,False,6,11,0.4
2020-11-01 17:00:00,1,1,1,1,1,1,1,1,1,1,0.0,6.3,5.6,16,3,0.0,False,6,11,0.1
2020-11-01 18:00:00,1,1,1,1,1,1,1,1,1,1,0.1,6.1,4.4,17,2,3.0,False,6,11,0.7
2020-11-01 19:00:00,1,1,1,1,1,1,1,1,1,1,0.1,6.3,5.9,18,0,2.0,False,6,11,0.1
2020-11-01 20:00:00,1,1,1,1,1,1,1,1,1,1,0.0,6.2,3.1,19,0,0.0,False,6,11,0.8
2020-11-01 21:00:00,1,1,1,1,1,1,1,1,1,1,0.0,6.8,6.8,20,1,0.0,False,6,11,0.5
2020-11-01 22:00:00,1,1,1,1,1,1,1,1,1,1,0.0,6.6,6.2,21,1,1.0,False,6,11,0.3
2020-11-01 23:00:00,1,1,1,1,1,1,1,1,1,1,0.0,6.5,3.8,22,1,1.0,False,6,11,0.2
2020-11-01 00:00:00,1,1,1,1,1,1,1,1,1,1,0.0,6.9,3.3,23,0,1.0,False,6,11,0.0
2020-11-02 01:00:00,1,1,1,1,1,1,1,1,1,1,0.0,2.5,3.8,0,0,,False,0,11,0.2
2020-11-02 02:00:00,1,1,1,1,1,1,1,1,1,1,0.0,1.8,3.4,1,0,0.0,False,0,11,0.0
2020-11-02 03:00:00,1,1,1,1,1,1,1,1,1,1,0.0,1.5,3.1,2,0,0.0,False,0,11,0.0
2020-11-02 04:00:00,1,1,1,1,1,1,1,1,1,1,0.0,0.6,1.5,3,0,0.0,False,0,11,0.0
2020-11-02 05:00:00,1,1,1,1,1,1,1,1,1,1,0.0,0.4,2.3,4,0,0.0,False,0,11,0.0
2020-11-02 06:00:00,1,1,1,1,1,1,1,1,1,1,0.0,1.1,2.5,5,0,0.0,False,0,11,0.0
2020-11-02 07:00:00,1,1,1,1,1,1,1,1,1,1,0.0,1.1,2.2,6,0,0.0,False,0,11,0.1
2020-11-02 08:00:00,1,1,1,1,1,1,1,1,1,1,0.0,0.9,1.7,7,1,0.0,False,0,11,0.4
2020-11-02 09:00:00,1,1,1,1,1,1,1,1,1,1,0.0,1.1,1.9,8,0,1.0,False,0,11,0.5
2020-11-02 10:00:00,1,1,1,1,1,1,1,1,1,1,0.0,1.1,1.8,9,1,0.0,False,0,11,0.5
2020-11-02 11:00:00,1,1,1,1,1,1,1,1,1,1,0.0,1.2,1.5,10,1,1.0,False,0,11,0.4
2020-11-02 12:00:00,1,1,1,1,1,1,1,1,1,1,0.0,2.1,2.1,11,0,1.0,False,0,11,0.4
2020-11-02 13:00:00,1,1,1,1,1,1,1,1,1,1,0.0,3.6,3.4,12,0,0.0,False,0,11,0.5
2020-11-02 14:00:00,1,1,1,1,1,1,1,1,1,1,0.0,5.1,2.1,13,1,0.0,False,0,11,0.7
2020-11-02 15:00:00,1,1,1,1,1,1,1,1,1,1,0.0,6.0,3.5,14,1,1.0,False,0,11,0.8
2020-11-02 16:00:00,1,1,1,1,1,1,1,1,1,1,0.0,4.9,3.0,15,0,1.0,False,0,11,1.6
2020-11-02 17:00:00,1,1,1,1,1,1,1,1,1,1,0.0,4.4,3.1,16,0,0.0,False,0,11,2.6
2020-11-02 18:00:00,1,1,1,1,1,1,1,1,1,1,0.0,3.3,1.6,17,0,0.0,False,0,11,1.2
2020-11-02 19:00:00,1,1,1,1,1,1,1,1,1,1,0.0,2.4,2.3,18,1,0.0,False,0,11,0.7
2020-11-02 20:00:00,1,1,1,1,1,1,1,1,1,1,0.0,3.0,4.9,19,2,1.0,False,0,11,0.8
2020-11-02 21:00:00,1,1,1,1,1,1,1,1,1,1,0.0,2.1,3.7,20,3,2.0,False,0,11,0.9
2020-11-02 22:00:00,1,1,1,1,1,1,1,1,1,1,0.0,1.9,2.3,21,0,3.0,False,0,11,1.7
2020-11-02 23:00:00,1,1,1,1,1,1,1,1,1,1,0.0,3.1,5.7,22,0,0.0,False,0,11,0.3
2020-11-02 00:00:00,1,1,1,1,1,1,1,1,1,1,0.0,2.9,4.9,23,0,0.0,False,0,11,0.0
2020-11-03 01:00:00,1,1,1,1,1,1,1,1,1,1,0.6,2.1,2.0,0,0,,False,1,11,0.2
